contig	coverage
NRRL_1608_metscf_12140	2.375
NRRL_1608_metscf_8187	22.1772151898734
NRRL_1608_metscf_2237	44.2160848431286
NRRL_1608_metscf_10700	0.333333333333333
NRRL_1608_metscf_5627	535.673870333988
NRRL_1608_metscf_10032	0
NRRL_1608_metscf_4596	40.9661214953271
NRRL_1608_metscf_10894	0
NRRL_1608_metscf_10756	6.56521739130435
NRRL_1608_metscf_8964	21.0330578512397
NRRL_1608_metscf_9290	0
NRRL_1608_metscf_9297	0
NRRL_1608_metscf_10934	0
NRRL_1608_metscf_10676	3.70212765957447
NRRL_1608_metscf_1869	42.827790582812
NRRL_1608_metscf_3698	42.3485177151121
NRRL_1608_metscf_1187	42.4795207142298
NRRL_1608_metscf_4581	124.442263279446
NRRL_1608_metscf_941	40.3793416097085
NRRL_1608_metscf_2106	39.5200052130848
NRRL_1608_metscf_674	39.6667267050913
NRRL_1608_metscf_3576	82.821356615178
NRRL_1608_metscf_5149	53.7885802469136
NRRL_1608_metscf_14134	0.53448275862069
NRRL_1608_metscf_7209	43.739837398374
NRRL_1608_metscf_1422	41.0848801742919
NRRL_1608_metscf_11521	0.886075949367089
NRRL_1608_metscf_14670	1.14285714285714
NRRL_1608_metscf_4863	968.520529801325
NRRL_1608_metscf_2587	38.4260651629073
NRRL_1608_metscf_1020	40.7508363636364
NRRL_1608_metscf_12378	1.57971014492754
NRRL_1608_metscf_11835	0.76
NRRL_1608_metscf_8981	3.35537190082645
NRRL_1608_metscf_2577	40.4215377697842
NRRL_1608_metscf_4426	43.7805139186296
NRRL_1608_metscf_13905	0.913793103448276
NRRL_1608_metscf_5286	34.1393034825871
NRRL_1608_metscf_644	40.7065794128051
NRRL_1608_metscf_14611	0
NRRL_1608_metscf_13204	0
NRRL_1608_metscf_14977	0
NRRL_1608_metscf_7635	40.8341463414634
NRRL_1608_metscf_5132	40.651376146789
NRRL_1608_metscf_10039	7.99056603773585
NRRL_1608_metscf_5140	43.0076804915515
NRRL_1608_metscf_129	39.9631578947368
NRRL_1608_metscf_10635	0.904255319148936
NRRL_1608_metscf_9213	13.9736842105263
NRRL_1608_metscf_1947	42.1091642651297
NRRL_1608_metscf_4154	50.5070422535211
NRRL_1608_metscf_14418	0.631578947368421
NRRL_1608_metscf_3351	39.2443674176776
NRRL_1608_metscf_10869	0
NRRL_1608_metscf_7912	24.4
NRRL_1608_metscf_9709	22.3761467889908
NRRL_1608_metscf_11587	0
NRRL_1608_metscf_2818	43.2909742587162
NRRL_1608_metscf_896	40.0806759334969
NRRL_1608_metscf_1180	43.3638282899367
NRRL_1608_metscf_6911	28.0315789473684
NRRL_1608_metscf_13496	1
NRRL_1608_metscf_12445	0
NRRL_1608_metscf_5939	30.9547511312217
NRRL_1608_metscf_8442	21.169014084507
NRRL_1608_metscf_4156	38.9990610328638
NRRL_1608_metscf_4049	42.1108179419525
NRRL_1608_metscf_3970	36.3375314861461
NRRL_1608_metscf_1136	43.0006143921358
NRRL_1608_metscf_15025	0
NRRL_1608_metscf_8700	19.6307692307692
NRRL_1608_metscf_8592	19.5037037037037
NRRL_1608_metscf_5144	44.8043143297381
NRRL_1608_metscf_9564	0
NRRL_1608_metscf_10518	6.23711340206186
NRRL_1608_metscf_7194	27.2016129032258
NRRL_1608_metscf_3470	89.0870927318296
NRRL_1608_metscf_8770	44.9842519685039
NRRL_1608_metscf_12205	0
NRRL_1608_metscf_9644	8.05454545454545
NRRL_1608_metscf_8504	2.1726618705036
NRRL_1608_metscf_1326	42.0856141522029
NRRL_1608_metscf_9357	2.57657657657658
NRRL_1608_metscf_6457	37.2336182336182
NRRL_1608_metscf_14761	9.51785714285714
NRRL_1608_metscf_5905	72.8195991091314
NRRL_1608_metscf_9894	15.3831775700935
NRRL_1608_metscf_2352	40.4232848935451
NRRL_1608_metscf_14915	0
NRRL_1608_metscf_12439	0
NRRL_1608_metscf_10021	15.3301886792453
NRRL_1608_metscf_13365	10
NRRL_1608_metscf_7607	45.4299516908213
NRRL_1608_metscf_3315	33.5658783783784
NRRL_1608_metscf_1151	40.9540993740824
NRRL_1608_metscf_13416	2.70491803278689
NRRL_1608_metscf_11672	0
NRRL_1608_metscf_1397	42.1256576110392
NRRL_1608_metscf_8260	29.7516339869281
NRRL_1608_metscf_6620	60.4938650306748
NRRL_1608_metscf_8453	99.6028368794326
NRRL_1608_metscf_5267	244.191103789127
NRRL_1608_metscf_13680	1.56666666666667
NRRL_1608_metscf_1418	41.591087126817
NRRL_1608_metscf_11573	0
NRRL_1608_metscf_385	42.1447304041491
NRRL_1608_metscf_10229	0
NRRL_1608_metscf_13610	0.9
NRRL_1608_metscf_2728	40.1575144508671
NRRL_1608_metscf_14382	0
NRRL_1608_metscf_11419	1.675
NRRL_1608_metscf_281	38.9436681032606
NRRL_1608_metscf_6525	29.5278592375367
NRRL_1608_metscf_3419	31.1688781664656
NRRL_1608_metscf_14114	3.70689655172414
NRRL_1608_metscf_2204	38.2565378055713
NRRL_1608_metscf_13813	0
NRRL_1608_metscf_10685	0.741935483870968
NRRL_1608_metscf_8513	28.1159420289855
NRRL_1608_metscf_14372	0
NRRL_1608_metscf_4196	83.2213740458015
NRRL_1608_metscf_4700	33.7416974169742
NRRL_1608_metscf_2907	60.2367647058824
NRRL_1608_metscf_2093	41.2319176319176
NRRL_1608_metscf_9789	14.9722222222222
NRRL_1608_metscf_6957	25.9820788530466
NRRL_1608_metscf_3099	39.2310170271514
NRRL_1608_metscf_469	39.4054311576941
NRRL_1608_metscf_1616	38.2212406376032
NRRL_1608_metscf_3093	41.9103385178408
NRRL_1608_metscf_4091	36.0830324909747
NRRL_1608_metscf_3928	108.166529942576
NRRL_1608_metscf_3216	39.5577915376677
NRRL_1608_metscf_9142	4.00862068965517
NRRL_1608_metscf_14290	2.21052631578947
NRRL_1608_metscf_10012	17.0566037735849
NRRL_1608_metscf_851	39.536438868126
NRRL_1608_metscf_9156	29.9826086956522
NRRL_1608_metscf_12921	2.44615384615385
NRRL_1608_metscf_3114	45.7976635514019
NRRL_1608_metscf_146	38.2270877243986
NRRL_1608_metscf_6337	57.7777777777778
NRRL_1608_metscf_8940	12.7131147540984
NRRL_1608_metscf_14244	0
NRRL_1608_metscf_9434	1.81981981981982
NRRL_1608_metscf_1730	41.6297426507985
NRRL_1608_metscf_4445	97.4880952380952
NRRL_1608_metscf_3090	39.5095802919708
NRRL_1608_metscf_10748	2.3804347826087
NRRL_1608_metscf_5509	31.7314814814815
NRRL_1608_metscf_4679	38.4240583232078
NRRL_1608_metscf_13004	0.71875
NRRL_1608_metscf_11401	0
NRRL_1608_metscf_7266	30.8458333333333
NRRL_1608_metscf_9558	0
NRRL_1608_metscf_8631	21.5714285714286
NRRL_1608_metscf_3178	42.571072319202
NRRL_1608_metscf_11947	0.410958904109589
NRRL_1608_metscf_13787	7.91525423728814
NRRL_1608_metscf_66	41.5610602806625
NRRL_1608_metscf_7618	11.0048309178744
NRRL_1608_metscf_2377	41.3421098215832
NRRL_1608_metscf_1606	41.6903669724771
NRRL_1608_metscf_8124	6.96296296296296
NRRL_1608_metscf_2550	37.1014619245036
NRRL_1608_metscf_12009	0.808219178082192
NRRL_1608_metscf_4356	38.9803719008264
NRRL_1608_metscf_3073	42.6828724353256
NRRL_1608_metscf_5647	70.5881188118812
NRRL_1608_metscf_669	39.111197744857
NRRL_1608_metscf_15123	0
NRRL_1608_metscf_1853	40.0491464608024
NRRL_1608_metscf_2135	38.1782945736434
NRRL_1608_metscf_11940	0.986486486486487
NRRL_1608_metscf_7539	10.6431924882629
NRRL_1608_metscf_3864	83.9132856006364
NRRL_1608_metscf_8061	25.9041916167665
NRRL_1608_metscf_11916	0
NRRL_1608_metscf_9307	16.1441441441441
NRRL_1608_metscf_5528	146.342696629213
NRRL_1608_metscf_8763	4.6640625
NRRL_1608_metscf_10522	0
NRRL_1608_metscf_10515	5.04123711340206
NRRL_1608_metscf_3295	39.1636161952302
NRRL_1608_metscf_8736	15.6666666666667
NRRL_1608_metscf_14473	4
NRRL_1608_metscf_1116	38.8245574044525
NRRL_1608_metscf_166	44.3868360711198
NRRL_1608_metscf_12426	0
NRRL_1608_metscf_10040	1.80188679245283
NRRL_1608_metscf_6760	82.9409836065574
NRRL_1608_metscf_10727	6.60869565217391
NRRL_1608_metscf_5133	39.7385321100917
NRRL_1608_metscf_10732	0.66304347826087
NRRL_1608_metscf_14403	0
NRRL_1608_metscf_10804	0
NRRL_1608_metscf_6918	26.7508771929825
NRRL_1608_metscf_7462	22.7828054298643
NRRL_1608_metscf_9116	20.7155172413793
NRRL_1608_metscf_1271	41.4803514766903
NRRL_1608_metscf_14934	0
NRRL_1608_metscf_14694	0
NRRL_1608_metscf_3931	79.5402298850575
NRRL_1608_metscf_4006	43.3433734939759
NRRL_1608_metscf_13356	1.90163934426229
NRRL_1608_metscf_7009	20.5166051660517
NRRL_1608_metscf_6644	31.9442724458204
NRRL_1608_metscf_1195	39.9042000943841
NRRL_1608_metscf_312	40.0164387283761
NRRL_1608_metscf_8067	29.421686746988
NRRL_1608_metscf_156	39.8477488151659
NRRL_1608_metscf_14813	0
NRRL_1608_metscf_10469	0
NRRL_1608_metscf_9242	0.867256637168142
NRRL_1608_metscf_2766	34.7859308671922
NRRL_1608_metscf_7681	21.8955223880597
NRRL_1608_metscf_11991	6.26027397260274
NRRL_1608_metscf_2110	37.8816134101624
NRRL_1608_metscf_4886	40.5954606141522
NRRL_1608_metscf_5633	36.5236220472441
NRRL_1608_metscf_8294	22.0728476821192
NRRL_1608_metscf_5019	37.2231759656652
NRRL_1608_metscf_10775	0
NRRL_1608_metscf_14533	0.75
NRRL_1608_metscf_8780	16.7637795275591
NRRL_1608_metscf_5654	38.6958250497018
NRRL_1608_metscf_10808	0
NRRL_1608_metscf_5088	1261.48952095808
NRRL_1608_metscf_2227	35.9976686580213
NRRL_1608_metscf_3002	40.7070116861436
NRRL_1608_metscf_6920	62.8943661971831
NRRL_1608_metscf_14821	1.76785714285714
NRRL_1608_metscf_3361	34.9036564132327
NRRL_1608_metscf_11051	0
NRRL_1608_metscf_12453	0
NRRL_1608_metscf_7411	25.787610619469
NRRL_1608_metscf_2791	63.0887703889586
NRRL_1608_metscf_1269	41.1326124075128
