contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NRRL_29146_plascf_1_covcut_5	11211	24.3154045134	6.70528944786	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_plascf_1_covcut_0	26663	28.9764842666	840.427821325	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus sp.	1973308
NRRL_29146_metscf_1	103257	35.6208295806	70.6802928615	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_2	101497	36.3104328207	75.749263525	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_3	101174	35.9074465772	89.4853915037	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_4	92902	35.3017157865	77.698833179	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_5	80063	35.5919713226	100.471628592	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_6	68294	35.4892084224	69.9372419246	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_7	66495	35.7726144823	51.475554553	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_8	61340	35.3472448647	86.5276980763	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_9	60529	35.0509673049	78.5682565382	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_10	54132	29.1472696372	22.1567464716	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_11	42615	35.3349759474	77.5947436349	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_12	39441	36.5584036916	35.2523009051	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_13	35257	27.0953285872	24.2375698443	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_14	35126	27.4924557308	34.4557592666	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
NRRL_29146_metscf_15	34982	24.1781487622	12.7273169058	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	Conidiobolus coronatus	34488
