contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
KOD_1059_plascf_1_covcut_5	12754	49.8118237416	5.73616120433	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	unclassified	2779937
KOD_1059_plascf_1_covcut_0	62469	27.6184987754	80.2597128176	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila verticillata	78898
KOD_1059_plascf_2_covcut_0	19122	47.9552348081	5.28307708399	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_1	149089	48.9787978992	10.4343110491	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_2	139294	48.8427355091	10.0669375565	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_3	136872	49.3819042609	10.3554488866	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_4	130910	49.8716675579	10.2314261707	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_5	130430	48.901326382	11.3538373074	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_6	130332	49.2404014363	11.2342632661	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_7	126588	48.1080355168	11.5490646823	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_8	118121	48.968430677	11.4563625435	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_9	117755	49.3711519681	9.84133157828	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_10	110931	47.4240744246	10.5735457176	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_11	110772	48.7957245513	11.984743437	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_12	108689	49.0509619189	11.1544314512	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_13	108622	48.1357367752	10.3528566957	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_14	107489	49.1845677232	10.6840048749	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_15	106133	47.5337548171	12.8090037971	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_16	105427	48.0417729804	10.1991235642	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_17	103391	48.395895194	11.2347012796	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_18	102139	48.7580649899	10.9847854395	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_19	99579	48.8918346238	10.1958645899	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_20	99364	48.6383398414	9.76275109698	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
KOD_1059_metscf_21	98883	48.5361487819	10.6648362206	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia	979697
