contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NRRL_1480_plascf_1_covcut_15	19027	34.7348504756	35.5114311242	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_plascf_2_covcut_15	11377	34.7455392458	33.1123318977	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	unclassified	4842
NRRL_1480_plascf_1_covcut_0	55642	25.48075195	2002.75286654	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
NRRL_1480_plascf_1_covcut_10	10061	35.5531259318	112.386144518	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_metscf_1	127060	35.2896269479	64.9071304895	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_metscf_2	124275	35.2154496077	66.9155984711	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_metscf_3	120778	35.4485088344	76.7351670006	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_metscf_4	112670	34.6827016952	71.4365137126	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_metscf_5	106098	34.4832136327	67.6994665309	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
NRRL_1480_metscf_6	103492	35.2007884667	67.8699319754	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
