contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
RSA_251_plascf_1_covcut_20	11424	42.7958683473	287.728641457	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_plascf_1_covcut_10	12816	40.0046816479	59.1194600499	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_1	302948	44.5538508259	22.2905086021	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_2	249125	44.6799799298	21.8193316608	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_3	247549	45.7283204537	21.2422591083	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_4	229406	45.0031821312	24.6050713582	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_5	220067	44.8213498616	21.453702736	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_6	204220	47.7945353051	18.6253207325	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_7	202295	44.8567685805	21.8519488865	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_8	191824	44.7947076487	21.8990741513	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_9	190552	44.7594357446	21.5605031697	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_10	189321	45.7825597794	21.4317165027	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_11	187933	45.2139858354	21.8374793144	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_12	169502	44.2667343158	22.4665844651	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_13	167710	44.445769483	22.0058374575	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_14	167386	44.6937019822	21.634061391	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_15	163386	43.8929896074	23.4103778782	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_251_metscf_16	162963	45.3777851414	21.7175125642	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
