contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
JCM_5580_plascf_1_covcut_5	20711	35.5077012216	7.25266766453	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_plascf_1_covcut_0	58923	25.5961169662	278.954703596	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_plascf_2_covcut_0	11001	32.2243432415	6.79783656031	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
JCM_5580_metscf_1	136686	34.9589570256	13.0226065581	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_2	134096	35.0510082329	14.4452630951	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_3	121024	34.830281597	13.8213081703	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_4	116592	33.5589062714	13.4168639358	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_5	108928	37.6661648061	6.42780552291	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus	58291
JCM_5580_metscf_6	108825	33.9692166322	13.6485458305	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_7	108095	34.2235996115	13.2306397151	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_8	97280	35.0421463816	13.0126541941	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_9	96930	34.561023419	14.1502733932	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_10	93623	33.612467022	16.1376478002	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
JCM_5580_metscf_11	92531	34.6867536285	14.0875058089	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
