contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NRRL_1451_plascf_1_covcut_5	11855	42.0666385491	7.09768030367	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor lusitanicus	29924
NRRL_1451_plascf_2_covcut_5	10921	44.0527424229	8.6998443366	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor ambiguus	91626
NRRL_1451_plascf_1_covcut_0	31957	34.120849892	427.336827612	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	unclassified	unclassified	unclassified	4827
NRRL_1451_metscf_1	348660	37.6819824471	336.654439855	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_2	292031	37.2874797539	371.252096524	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_3	273745	37.3427825166	342.455000091	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_4	262913	38.0886452933	370.044588894	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_5	232026	38.952962168	430.936653651	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_6	158323	37.6704584931	399.40267049	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_7	157524	39.547624489	429.069417993	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_8	136801	37.6481166073	328.889101688	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_9	113201	36.7646928914	410.970892483	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_10	105250	38.0180522565	411.660418052	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
NRRL_1451_metscf_11	101551	43.2935175429	14.1653454914	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor lusitanicus	29924
NRRL_1451_metscf_12	94688	42.0348935451	14.626225076	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor lusitanicus	29924
NRRL_1451_metscf_13	88808	38.3839293757	421.299376182	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352
