AD010_metscf_199	KY249641	154	85.714	3214	3360	888	84	1.60e-35	Aphelidium desmodesmi
AD010_metscf_425	AB243296	347	79.827	21260	21584	5615	121	3.11e-56	Schizosaccharomyces japonicus
AD010_metscf_425	MT784100	329	79.027	21278	21584	5649	107	1.89e-48	Drosera intermedia
AD010_metscf_425	MF004311	338	78.698	21269	21584	5403	107	1.89e-48	Aspergillus keveii
AD010_metscf_425	EU167598	183	85.792	21403	21584	5177	102	1.14e-45	Mycosphaerella stromatosa
AD010_metscf_425	EU040243	183	85.792	21403	21584	3448	102	1.14e-45	Toxicocladosporium irritans
AD010_metscf_425	GU214688	183	85.792	21403	21584	5134	102	1.14e-45	Epicoleosporium ramularioides
AD010_metscf_425	GU214669	183	85.792	21403	21584	5467	102	1.14e-45	Phacellium paspali
AD010_metscf_425	GU214695	183	85.792	21403	21584	5140	102	1.14e-45	Xenoramularia polygonicola
AD010_metscf_425	GU214689	183	85.792	21403	21584	5132	102	1.14e-45	Cercosporella acroptili
AD010_metscf_425	GU214693	183	85.792	21403	21584	5129	102	1.14e-45	Ramularia stellariicola
AD010_metscf_616	GU214669	320	85.312	1354	1668	3003	176	6.62e-87	Phacellium paspali
AD010_metscf_616	GU214669	177	89.831	1896	2071	5291	122	6.91e-57	Phacellium paspali
AD010_metscf_616	EU167598	320	85.000	1354	1668	3055	173	3.08e-85	Mycosphaerella stromatosa
AD010_metscf_616	EU167598	177	89.831	1896	2071	5001	122	6.91e-57	Mycosphaerella stromatosa
AD010_metscf_616	EU040243	320	85.000	1354	1668	1323	173	3.08e-85	Toxicocladosporium irritans
AD010_metscf_616	EU040243	177	89.831	1896	2071	3272	122	6.91e-57	Toxicocladosporium irritans
AD010_metscf_616	GU214688	320	85.000	1354	1668	3010	173	3.08e-85	Epicoleosporium ramularioides
AD010_metscf_616	GU214688	177	89.831	1896	2071	4958	122	6.91e-57	Epicoleosporium ramularioides
AD010_metscf_616	GU214689	320	85.000	1354	1668	3008	173	3.08e-85	Cercosporella acroptili
AD010_metscf_616	GU214689	177	89.831	1896	2071	4956	122	6.91e-57	Cercosporella acroptili
AD010_metscf_616	GU214693	320	85.000	1354	1668	3005	173	3.08e-85	Ramularia stellariicola
AD010_metscf_616	GU214693	177	89.831	1896	2071	4953	122	6.91e-57	Ramularia stellariicola
AD010_metscf_616	EU019250	320	85.000	1354	1668	1388	173	3.08e-85	Stenella araguata
AD010_metscf_616	EU019250	177	89.831	1896	2071	3336	122	6.91e-57	Stenella araguata
AD010_metscf_616	AB243296	320	85.000	1354	1668	3292	173	3.08e-85	Schizosaccharomyces japonicus
AD010_metscf_616	AB243296	230	85.652	1896	2123	5279	128	3.19e-60	Schizosaccharomyces japonicus
AD010_metscf_616	MF004311	321	84.735	1354	1668	3122	171	3.99e-84	Aspergillus keveii
AD010_metscf_616	MF004311	178	89.888	1896	2072	5075	123	1.92e-57	Aspergillus keveii
AD010_metscf_616	GU214695	320	84.688	1354	1668	3016	170	1.43e-83	Xenoramularia polygonicola
AD010_metscf_616	GU214695	177	89.831	1896	2071	4964	122	6.91e-57	Xenoramularia polygonicola
AD010_metscf_944	KT336720	325	89.231	2428	2745	4732	216	2.83e-109	Candida ranongensis
AD010_metscf_944	KT336719	325	89.231	2428	2745	4686	216	2.83e-109	Candida neorugosa
AD010_metscf_944	KT336722	325	89.231	2428	2745	4644	216	2.83e-109	Candida sp. NRRL Y-27665
AD010_metscf_944	EU143316	321	89.408	2428	2741	4454	215	1.02e-108	Metschnikowia cubensis
AD010_metscf_944	KT276332	325	88.923	2428	2745	4934	213	1.32e-107	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_944	DQ641238	321	89.097	2428	2741	4458	212	4.73e-107	Metschnikowia continentalis
AD010_metscf_944	KF647736	321	89.097	2428	2741	4449	212	4.73e-107	Metschnikowia dekortorum
AD010_metscf_944	AY198400	326	88.650	2428	2746	5325	211	1.70e-106	Nakaseomyces delphensis
AD010_metscf_944	FJ422506	326	88.037	2428	2745	5209	204	1.32e-102	Eremothecium sinecaudum
AD010_metscf_944	JQ612155	321	88.162	2428	2741	5093	203	4.76e-102	Candida tunisiensis
AD010_metscf_1132	AB243296	336	90.179	5873	6206	5609	235	6.72e-120	Schizosaccharomyces japonicus
AD010_metscf_1132	KT336720	334	90.120	5874	6206	5056	234	2.42e-119	Candida ranongensis
AD010_metscf_1132	KT336722	334	90.120	5874	6206	4968	234	2.42e-119	Candida sp. NRRL Y-27665
AD010_metscf_1132	AY198400	333	90.090	5875	6206	5648	233	8.69e-119	Nakaseomyces delphensis
AD010_metscf_1132	KT336719	335	89.851	5874	6206	5010	231	1.12e-117	Candida neorugosa
AD010_metscf_1132	KT276332	334	89.820	5874	6206	5258	231	1.12e-117	Spathaspora sp. UFMG-CM-Y306
AD010_metscf_1132	AM943655	334	89.820	5875	6206	5610	230	4.04e-117	Zygosaccharomyces rouxii
AD010_metscf_1132	EU143316	329	89.666	5879	6206	4774	226	6.76e-115	Metschnikowia cubensis
AD010_metscf_1132	KF647736	329	89.666	5879	6206	4769	226	6.76e-115	Metschnikowia dekortorum
AD010_metscf_1132	DQ641238	329	89.362	5879	6206	4778	223	3.15e-113	Metschnikowia continentalis
AD010_metscf_1372	EU040243	2528	89.280	2460	4982	3606	1707	0.0	Toxicocladosporium irritans
AD010_metscf_1372	EU040243	416	82.452	5323	5735	913	193	1.22e-96	Toxicocladosporium irritans
AD010_metscf_1372	EU040243	149	91.946	6044	6192	332	113	3.61e-52	Toxicocladosporium irritans
AD010_metscf_1372	GU214693	2526	89.153	2461	4981	5286	1695	0.0	Ramularia stellariicola
AD010_metscf_1372	GU214693	1739	89.707	6375	8097	1731	1187	0.0	Ramularia stellariicola
AD010_metscf_1372	GU214693	418	81.340	5323	5735	2594	175	1.24e-86	Ramularia stellariicola
AD010_metscf_1372	GU214693	154	92.857	6044	6197	2027	121	1.29e-56	Ramularia stellariicola
AD010_metscf_1372	GU214689	2527	88.999	2461	4981	5289	1683	0.0	Cercosporella acroptili
