contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NRRL_1352_plascf_1_covcut_0	71753	31.0467855003	180.756470113	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_plascf_2_covcut_0	10242	32.6889279438	14.1312243702	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_plascf_1_covcut_10	10327	32.7781543527	18.7822213615	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_1	349490	33.7869466938	25.8333171192	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_2	264155	34.0534913214	27.0181787208	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_3	239714	32.8708377483	24.4399242431	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_4	233633	32.0438465457	24.7443083811	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_5	232675	32.1495648437	24.5626130869	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_6	217500	33.0468965517	25.6065011494	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_7	217107	33.4434173011	25.4829508031	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_8	199473	32.8535691547	26.0141171988	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_9	198307	34.4193598814	27.0306645756	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_10	194260	33.5220838052	25.614480593	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_11	183488	32.9830833624	24.2103516306	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_12	180921	33.1603296466	25.2888885204	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_13	179475	33.1723081209	25.2409249199	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_14	177213	33.4924638712	26.0092036137	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
NRRL_1352_metscf_15	176098	33.2746538859	24.9872570955	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
