contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
Benny_63K_metscf_1	268449	49.9625627214	262.030650142	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_2	239070	48.1440582256	282.057727862	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_3	227062	49.6564814896	261.617906123	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_4	223430	50.2886810187	265.401942443	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_5	156537	49.5723055891	133.748104282	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_6	145526	50.1319351868	145.708306419	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_7	115842	50.465288928	255.76126966	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_8	112048	49.1744609453	132.131970227	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_9	102405	48.1704994873	133.712514037	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_10	101022	50.8948545861	131.325335076	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
Benny_63K_metscf_11	100091	45.1609035777	160.457673517	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
