Species	Query Contig	Hit Accession	AlnLen	PercentIDMatch	QStart	QEnd	HStart	HEnd	Evalue	Hit Taxon
Rhizopus_sp._NRRL_A-11791	NRRL_A-11791_metscf_728/289-1815	NR_102769	1524	99.738	4	1526	1	1511	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_sp._NRRL_A-11791	NRRL_A-11791_metscf_728/289-1815	NR_042393	1525	99.607	5	1526	1	1505	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_sp._NRRL_A-11791	NRRL_A-11791_metscf_728/289-1815	NR_042584	1525	99.016	5	1527	1	1479	0.0	Burkholderia endofungorum
Rhizopus_sp._NRRL_A-11791	NRRL_A-11791_metscf_728/289-1815	NR_074312	1527	97.380	2	1527	1	1406	0.0	Burkholderia thailandensis E264
Rhizopus_sp._NRRL_A-11791	NRRL_A-11791_metscf_728/289-1815	NR_074299	1526	97.117	2	1527	1	1394	0.0	Burkholderia mallei
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_2595/250-1783	NR_121716	1538	94.278	4	1529	1	1264	0.0	Advenella mimigardefordensis DPN7
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_2595/250-1783	NR_074872	1545	94.045	1	1534	4	1259	0.0	Advenella kashmirensis
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_2595/250-1783	NR_043250	1511	93.911	5	1503	1	1224	0.0	Advenella mimigardefordensis DPN7
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_2595/250-1783	NR_025280	1489	94.157	28	1511	1	1223	0.0	Castellaniella defragrans
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_2595/250-1783	NR_044802	1472	93.886	44	1506	2	1196	0.0	Castellaniella denitrificans
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_967/2165-3696	NR_024901	1516	99.538	7	1522	1516	1495	0.0	Pseudomonas libanensis
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_967/2165-3696	NR_037092	1527	99.345	1	1527	1522	1494	0.0	Pseudomonas azotoformans
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_967/2165-3696	NR_043425	1527	99.214	1	1527	1527	1493	0.0	Pseudomonas synxantha
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_967/2165-3696	NR_024928	1516	99.472	7	1522	1516	1493	0.0	Pseudomonas gessardii
Syncephalastrum_verruculosum_RSA_2127	RSA_2127_metscf_967/2165-3696	NR_043422	1527	99.149	1	1527	1526	1489	0.0	Pseudomonas mucidolens
Rhizopus_microsporus_NRRL_5546	NRRL_5546_metscf_664/290-1816	NR_102769	1524	99.278	4	1526	1	1490	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_microsporus_NRRL_5546	NRRL_5546_metscf_664/290-1816	NR_042393	1525	99.148	5	1526	1	1484	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_microsporus_NRRL_5546	NRRL_5546_metscf_664/290-1816	NR_042584	1525	99.082	5	1527	1	1482	0.0	Burkholderia endofungorum
Rhizopus_microsporus_NRRL_5546	NRRL_5546_metscf_664/290-1816	NR_074312	1527	97.577	2	1527	1	1415	0.0	Burkholderia thailandensis E264
Rhizopus_microsporus_NRRL_5546	NRRL_5546_metscf_664/290-1816	NR_116051	1506	97.610	22	1527	1	1398	0.0	Burkholderia thailandensis E264
Rhizopus_arrhizus_IMI266680	IMI_266680_metscf_1272/576-2104	NR_042584	1525	99.738	5	1529	1	1513	0.0	Burkholderia endofungorum
Rhizopus_arrhizus_IMI266680	IMI_266680_metscf_1272/576-2104	NR_102769	1526	99.148	4	1528	1	1485	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_arrhizus_IMI266680	IMI_266680_metscf_1272/576-2104	NR_042393	1527	99.018	5	1528	1	1479	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_arrhizus_IMI266680	IMI_266680_metscf_1272/576-2104	NR_074312	1529	97.384	2	1529	1	1407	0.0	Burkholderia thailandensis E264
Rhizopus_arrhizus_IMI266680	IMI_266680_metscf_1272/576-2104	NR_116051	1508	97.414	22	1529	1	1390	0.0	Burkholderia thailandensis E264
Pirella_circinans_var._volvogradensis_RSA_2566	RSA_2566_metscf_3508/5-1363	NR_118008	1359	99.853	1	1359	114	1354	0.0	Stenotrophomonas pavanii
Pirella_circinans_var._volvogradensis_RSA_2566	RSA_2566_metscf_3508/5-1363	NR_041577	1359	99.779	1	1359	134	1350	0.0	Stenotrophomonas maltophilia
Pirella_circinans_var._volvogradensis_RSA_2566	RSA_2566_metscf_3508/5-1363	NR_119220	1359	99.706	1	1359	114	1348	0.0	Stenotrophomonas maltophilia
Pirella_circinans_var._volvogradensis_RSA_2566	RSA_2566_metscf_3508/5-1363	NR_116793	1359	99.706	1	1359	114	1347	0.0	Stenotrophomonas pavanii
Pirella_circinans_var._volvogradensis_RSA_2566	RSA_2566_metscf_3508/5-1363	NR_113648	1357	99.705	1	1357	114	1346	0.0	Stenotrophomonas maltophilia
Rhizopus_arrhizus_NRRL_66564	NRRL_66564_metscf_543/291-1819	NR_042584	1525	99.934	5	1529	1	1522	0.0	Burkholderia endofungorum
Rhizopus_arrhizus_NRRL_66564	NRRL_66564_metscf_543/291-1819	NR_102769	1526	98.952	4	1528	1	1476	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_arrhizus_NRRL_66564	NRRL_66564_metscf_543/291-1819	NR_042393	1527	98.887	5	1528	1	1473	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_arrhizus_NRRL_66564	NRRL_66564_metscf_543/291-1819	NR_074312	1529	97.319	2	1529	1	1404	0.0	Burkholderia thailandensis E264
Rhizopus_arrhizus_NRRL_66564	NRRL_66564_metscf_543/291-1819	NR_116051	1508	97.347	22	1529	1	1387	0.0	Burkholderia thailandensis E264
Rhizopus_arrhizus_NRRL_A-11376	NRRL_A-11376_metscf_3695/292-1820	NR_042584	1525	99.738	5	1529	1	1513	0.0	Burkholderia endofungorum
Rhizopus_arrhizus_NRRL_A-11376	NRRL_A-11376_metscf_3695/292-1820	NR_102769	1526	99.148	4	1528	1	1485	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_arrhizus_NRRL_A-11376	NRRL_A-11376_metscf_3695/292-1820	NR_042393	1527	99.018	5	1528	1	1479	0.0	Burkholderia rhizoxinica HKI 454
Rhizopus_arrhizus_NRRL_A-11376	NRRL_A-11376_metscf_3695/292-1820	NR_074312	1529	97.384	2	1529	1	1407	0.0	Burkholderia thailandensis E264
