contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NVP41_metscf_1	356313	48.8475020558	12.885075762	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_2	229675	48.6578861435	12.904443235	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_3	224605	48.5968700608	12.8807506511	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_4	196425	49.2213312969	12.7617614866	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_5	196098	48.9831614805	12.2153566074	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_6	194369	48.6965514048	13.0094871096	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_7	193056	48.6408088845	12.8578598956	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_8	182522	49.499238448	12.4138350445	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_9	170784	49.0116170133	12.8678330523	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_10	163728	49.1485879019	12.7148929933	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_11	154175	48.978757905	12.1291324793	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_12	150494	49.1919943652	12.8066102303	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_13	149544	48.9267372813	12.4713729738	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. GBA35	1896188
NVP41_metscf_14	148728	49.1030606207	12.7740842343	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_15	147860	48.6811849046	12.5969160016	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_16	147471	49.6172128758	12.4058425046	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
NVP41_metscf_17	147413	49.1401708126	12.4282051108	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_18	145552	50.0968725954	11.7385058261	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41	1896192
NVP41_metscf_19	143430	49.1528968835	12.3613330545	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031	1896182
