contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
IMI_325629_metscf_1	139267	34.0504211335	28.2647935261	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Thamnidium	Thamnidium elegans	101142
IMI_325629_metscf_2	134799	34.4965467103	27.2394083042	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
IMI_325629_metscf_3	118304	36.7029010008	26.137611577	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_4	114864	34.2979523611	27.891872127	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_5	110597	36.3147282476	26.3766286608	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus stolonifer	4846
IMI_325629_metscf_6	109133	35.0471443102	28.1955320572	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_7	105212	34.3687031898	26.6465992472	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Choanephora	Choanephora cucurbitarum	101091
IMI_325629_metscf_8	102007	35.1338633623	26.7663101552	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor saturninus	64648
IMI_325629_metscf_9	100598	38.5285989781	24.9139744329	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_10	94680	35.2989015632	26.9489015632	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_11	92634	34.7183539521	26.2775870631	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	unclassified	4830
IMI_325629_metscf_12	90328	34.4688247277	27.8798932778	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus	58291
IMI_325629_metscf_13	87220	35.9046090346	26.3011235955	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_14	86876	34.5377319398	33.4827340117	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus	58291
IMI_325629_metscf_15	84558	35.7103999622	27.9217814991	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_16	84401	35.6358336987	27.9899290293	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_17	82003	35.4121190688	32.812787337	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus stolonifer	4846
IMI_325629_metscf_18	81250	33.9790769231	28.0336	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor ambiguus	91626
IMI_325629_metscf_19	81229	34.4815275333	28.9065973975	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	36080
IMI_325629_metscf_20	80306	36.3932956442	29.775869798	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor saturninus	64648
IMI_325629_metscf_21	79271	34.6356170605	27.3303099494	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_22	79212	37.3718628491	26.0458895117	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus	58291
IMI_325629_metscf_23	78453	34.3849183588	26.8825283928	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Thamnidium	Thamnidium elegans	101142
IMI_325629_metscf_24	78396	35.1803663452	27.2575131384	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_25	77604	36.9375289934	25.5739266017	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_26	77409	36.8871836608	31.3026004728	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor saturninus	64648
IMI_325629_metscf_27	76363	34.9095766274	26.5138745204	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
IMI_325629_metscf_28	74164	34.755406936	26.9031201122	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_29	71971	34.3249364327	27.8482861152	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Thamnidium	Thamnidium elegans	101142
IMI_325629_metscf_30	70502	35.6117556949	32.404938867	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	936053
IMI_325629_metscf_31	70425	34.1114660987	27.7347532836	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	unclassified	4830
IMI_325629_metscf_32	69014	35.0030428609	28.1015301243	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
IMI_325629_metscf_33	68142	34.6643773297	27.6868597928	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor saturninus	64648
IMI_325629_metscf_34	67875	34.6209944751	27.0354475138	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	unclassified	4830
IMI_325629_metscf_35	67792	35.8803398631	28.6788116592	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus oryzae	64495
IMI_325629_metscf_36	67251	34.7459517331	25.9557181306	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	36080
IMI_325629_metscf_37	67052	34.1868997196	28.0367177713	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	unclassified	4830
IMI_325629_metscf_38	65414	34.5461216253	28.0781789831	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	unclassified	unclassified	34489
IMI_325629_metscf_39	65348	34.8304462264	27.981851013	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	36080
IMI_325629_metscf_40	65035	33.0483585762	886.14296917	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_41	64968	36.2393793868	25.1767023766	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor ambiguus	91626
IMI_325629_metscf_42	64829	33.8552191149	28.1486217588	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	36080
IMI_325629_metscf_43	63771	35.784290665	31.6100892255	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella parasitica	35722
IMI_325629_metscf_44	63318	38.1945102498	24.9655232319	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor ambiguus	91626
IMI_325629_metscf_45	62582	33.5527787543	22.947365057	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Apophysomyces	Apophysomyces sp. BC1015	2184030
IMI_325629_metscf_46	62088	35.0421981703	33.2332173689	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
IMI_325629_metscf_47	61323	36.2865482772	26.5116840337	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor plumbeus	97098
