contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
RSA_198_Plus_plascf_1_covcut_5	22315	27.3448353126	16.3418776608	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_plascf_1_covcut_0	93727	28.1754457093	479.94321807	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_1	375392	33.264427585	30.1985950686	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_2	350033	32.7314853171	30.1066699425	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_3	335370	33.1979604616	30.2092882488	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_4	313173	32.726320596	29.66737554	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_5	307707	32.6050431092	29.9043473174	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_6	298967	33.005983938	29.9396220988	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_7	297120	33.0156165859	29.6844944803	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_8	277502	33.4491282946	31.1632168417	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_9	274919	32.2691410925	28.3085199641	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_10	268680	32.1747059699	29.7196479083	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_11	258697	32.7680645697	30.2285724226	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_12	241898	31.806381202	27.6200381979	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_13	238191	32.5906520397	29.7995726119	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_14	230406	32.6671180438	30.1005442567	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_15	230005	33.1101497794	29.5798047869	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_16	225436	32.3954470448	29.2895145407	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_17	219481	32.9258569079	30.486625266	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_18	218622	32.8146298177	29.8009440953	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_19	212799	32.4822954995	29.6860041636	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_20	211451	32.8501638678	30.3178372294	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_21	210955	31.2592733047	27.3773079567	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_22	205928	32.6240239307	30.7312652966	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_23	203471	32.1849305306	29.2705889291	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_24	202958	32.816149154	30.2533430562	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_25	201978	33.6031647011	31.2220192298	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_26	192757	32.3682149027	29.4607355375	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_27	192087	33.461400303	30.6250501075	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_28	184702	33.8426221698	31.0146289699	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_29	184490	33.3779608651	31.6031763239	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_30	183971	33.1198938963	30.7627832648	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_31	183948	33.3501859221	30.1992410899	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_32	178858	30.9206185913	26.4050699438	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_33	178328	33.2208066036	30.2003723476	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_34	177857	32.0470940137	28.7384584245	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_35	177813	32.5296800571	29.85377897	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_36	176283	33.0843019463	29.3655372327	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_37	175961	33.584146487	31.1238228926	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_38	174376	32.5709960086	30.1376794972	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_39	173330	32.5892805631	30.3134425662	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_40	171018	32.7024055947	29.6983300004	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_41	168566	32.6869000866	29.9554714474	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_42	166419	32.5155180598	30.0704787314	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_43	164699	31.9789434058	28.5389771644	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_44	162148	32.3352739473	28.893042159	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_45	161100	32.8237119801	29.9060148976	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_46	161033	32.5411561605	29.4527581303	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_47	160809	31.5697504493	28.5963285637	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_48	159879	33.4940798979	30.4115487337	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_49	152775	33.0963835706	29.5524987727	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_50	152360	32.1291677606	29.3219873983	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_51	150239	32.510200414	29.7235937406	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_52	149031	33.8627533869	30.6474693185	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_53	148974	32.2425389665	29.627820962	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_54	147004	32.6902669315	30.5434205872	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
RSA_198_Plus_metscf_55	146948	32.1372186079	28.5723589297	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinatus	2054153
