contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
RSA_1821_plascf_1_covcut_70	16883	53.7404489723	2018.73055737	Eukaryota	Streptophyta	Magnoliopsida	Trochodendrales	Trochodendraceae	Tetracentron	Tetracentron sinense	13715
RSA_1821_plascf_1_covcut_198	16883	53.8826038026	2015.4317953	Eukaryota	Streptophyta	Magnoliopsida	Trochodendrales	Trochodendraceae	Tetracentron	Tetracentron sinense	13715
RSA_1821_plascf_1_covcut_564	16749	53.8121678906	2022.19416085	Eukaryota	Streptophyta	Magnoliopsida	Trochodendrales	Trochodendraceae	Tetracentron	Tetracentron sinense	13715
RSA_1821_metscf_1	340605	50.6789389469	284.167936466	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_2	315095	50.3641758835	281.443196496	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_3	287800	50.2786657401	284.037539958	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_4	286728	50.1206718563	283.219549538	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_5	261250	51.3431578947	277.455303349	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_6	246569	50.917187481	280.701053255	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_7	241016	52.0434328011	274.921445049	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_8	238439	49.6516928858	289.376876266	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_9	232994	49.9875533276	289.270212967	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_10	227736	49.1503319633	292.745099589	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_11	225491	49.1203640057	290.331294819	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_12	213332	50.2690641817	285.369246058	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_13	210597	49.0937667678	293.397626747	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_14	205388	50.5136619471	287.040051025	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_15	189718	51.7494386405	278.210670574	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_16	173648	51.1275684143	279.022349811	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_17	169949	51.661969179	281.391988185	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_18	164259	48.944045684	294.45273014	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_19	162190	47.8777976447	299.611073432	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_20	155724	48.8415401608	294.38841797	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_21	143202	51.0349017472	281.888248767	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_22	142381	49.5459366067	291.030425408	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_23	137461	48.9135100137	293.992572439	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_24	134991	48.7654732538	297.123252661	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
RSA_1821_metscf_25	134904	51.7738539999	276.671914843	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia reversa	61392
