NRRL_28271_metscf_3	KJ535862	196	80.612	154571	154763	6932	79	5.39e-32	Dalcantha cf. alata SY-2015
NRRL_28271_metscf_3	KJ559415	196	80.612	154571	154763	6981	79	5.39e-32	Elasmucha grisea
NRRL_28271_metscf_21	MF004311	221	90.498	106381	106601	5035	157	1.66e-75	Aspergillus keveii
NRRL_28271_metscf_21	EU040243	211	91.469	106381	106591	3232	157	1.66e-75	Toxicocladosporium irritans
NRRL_28271_metscf_21	GU214688	211	91.469	106381	106591	4918	157	1.66e-75	Epicoleosporium ramularioides
NRRL_28271_metscf_21	GU214669	211	91.469	106381	106591	5251	157	1.66e-75	Phacellium paspali
NRRL_28271_metscf_21	GU214695	211	91.469	106381	106591	4924	157	1.66e-75	Xenoramularia polygonicola
NRRL_28271_metscf_21	GU214689	211	91.469	106381	106591	4916	157	1.66e-75	Cercosporella acroptili
NRRL_28271_metscf_21	GU214693	211	91.469	106381	106591	4913	157	1.66e-75	Ramularia stellariicola
NRRL_28271_metscf_21	EU019250	211	91.469	106381	106591	3296	157	1.66e-75	Stenella araguata
NRRL_28271_metscf_21	EU167598	210	91.429	106382	106591	4962	156	5.96e-75	Mycosphaerella stromatosa
NRRL_28271_metscf_21	KF737866	207	91.787	106385	106591	5264	156	5.96e-75	Pseudozyma sp. GHG001
NRRL_28271_metscf_235	JQ612155	176	93.182	14358	14533	5287	139	6.25e-66	Candida tunisiensis
NRRL_28271_metscf_235	AF061799	173	93.064	14361	14533	4125	137	8.08e-65	Hydrolagus colliei
NRRL_28271_metscf_235	KU356790	173	93.064	14361	14533	6270	137	8.08e-65	Centropyge nox
NRRL_28271_metscf_235	KU356791	173	93.064	14361	14533	6298	137	8.08e-65	Genicanthus lamarck
NRRL_28271_metscf_235	KU240018	173	93.064	14361	14533	6336	137	8.08e-65	Apolemichthys arcuatus
NRRL_28271_metscf_235	KU244240	173	93.064	14361	14533	6399	137	8.08e-65	Pygoplites diacanthus
NRRL_28271_metscf_235	KU356781	173	93.064	14361	14533	6404	137	8.08e-65	Centropyge venusta
NRRL_28271_metscf_235	KU244244	173	93.064	14361	14533	6412	137	8.08e-65	Chaetodontoplus mesoleucus
NRRL_28271_metscf_235	KU363797	173	93.064	14361	14533	6415	137	8.08e-65	Centropyge flavissima
NRRL_28271_metscf_235	KU244251	173	93.064	14361	14533	6417	137	8.08e-65	Centropyge woodheadi
NRRL_28271_metscf_920	EU040243	2530	89.249	400	2922	3606	1704	0.0	Toxicocladosporium irritans
NRRL_28271_metscf_920	EU040243	439	82.916	3261	3694	913	208	4.26e-105	Toxicocladosporium irritans
NRRL_28271_metscf_920	EU040243	155	90.968	3949	4103	332	113	2.75e-52	Toxicocladosporium irritans
NRRL_28271_metscf_920	GU214693	2528	89.082	401	2921	5286	1689	0.0	Ramularia stellariicola
NRRL_28271_metscf_920	GU214693	1738	89.413	4289	6008	1731	1170	0.0	Ramularia stellariicola
NRRL_28271_metscf_920	GU214693	437	81.465	3261	3694	2594	187	2.01e-93	Ramularia stellariicola
NRRL_28271_metscf_920	GU214693	149	91.946	3949	4097	2027	113	2.75e-52	Ramularia stellariicola
NRRL_28271_metscf_920	EU167598	2528	88.964	401	2921	5334	1679	0.0	Mycosphaerella stromatosa
NRRL_28271_metscf_920	EU167598	1702	89.542	4289	5975	1691	1155	0.0	Mycosphaerella stromatosa
NRRL_28271_metscf_920	EU167598	419	81.862	3261	3673	2644	181	4.35e-90	Mycosphaerella stromatosa
NRRL_28271_metscf_920	EU167598	157	91.083	3949	4105	2075	115	2.13e-53	Mycosphaerella stromatosa
NRRL_28271_metscf_920	GU214689	2528	88.924	401	2921	5289	1677	0.0	Cercosporella acroptili
NRRL_28271_metscf_920	GU214689	1738	89.413	4289	6008	1734	1170	0.0	Cercosporella acroptili
NRRL_28271_metscf_920	GU214689	437	81.693	3261	3694	2597	190	4.32e-95	Cercosporella acroptili
NRRL_28271_metscf_920	GU214689	149	91.946	3949	4097	2030	113	2.75e-52	Cercosporella acroptili
NRRL_28271_metscf_920	EU019250	2532	88.823	401	2922	3669	1670	0.0	Stenella araguata
NRRL_28271_metscf_920	EU019250	441	81.633	3261	3695	976	188	5.59e-94	Stenella araguata
NRRL_28271_metscf_920	EU019250	149	91.275	3949	4097	391	110	1.28e-50	Stenella araguata
NRRL_28271_metscf_920	GU214688	2528	88.687	401	2921	5291	1658	0.0	Epicoleosporium ramularioides
NRRL_28271_metscf_920	GU214688	1739	89.304	4289	6008	1732	1164	0.0	Epicoleosporium ramularioides
NRRL_28271_metscf_920	GU214688	432	81.713	3247	3673	2617	186	7.23e-93	Epicoleosporium ramularioides
NRRL_28271_metscf_920	GU214688	172	88.953	3949	4120	2029	114	7.65e-53	Epicoleosporium ramularioides
NRRL_28271_metscf_920	GU214695	2531	88.661	401	2921	5297	1656	0.0	Xenoramularia polygonicola
NRRL_28271_metscf_920	GU214695	1751	89.092	4289	6023	1737	1163	0.0	Xenoramularia polygonicola
NRRL_28271_metscf_920	GU214695	404	81.683	3261	3661	2606	175	9.42e-87	Xenoramularia polygonicola
NRRL_28271_metscf_920	GU214695	146	92.466	3958	4103	2017	113	2.75e-52	Xenoramularia polygonicola
NRRL_28271_metscf_920	MF004311	2521	88.655	401	2909	5408	1652	0.0	Aspergillus keveii
NRRL_28271_metscf_920	MF004311	1816	87.280	4289	6085	1798	1104	0.0	Aspergillus keveii
NRRL_28271_metscf_920	MF004311	435	82.299	3247	3673	2717	195	7.18e-98	Aspergillus keveii
NRRL_28271_metscf_920	MF004311	144	88.889	3954	4097	2099	96	7.76e-43	Aspergillus keveii
NRRL_28271_metscf_920	AM943655	2813	85.958	185	2921	5844	1578	0.0	Zygosaccharomyces rouxii
NRRL_28271_metscf_920	AM943655	1821	88.413	4289	6085	1802	1166	0.0	Zygosaccharomyces rouxii
