contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
AD072_plascf_1_covcut_0	30467	51.4720845505	5.07158565005	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_1	200116	50.2183733435	10.1668282396	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_2	169693	50.2466218406	9.92865940257	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_3	138232	50.8601481567	10.0540468198	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_4	137826	50.2234701725	9.99968801242	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_5	131112	50.4820306303	10.2099045091	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_6	125242	51.2399993612	9.58614522285	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_7	119841	50.9024457406	9.41933061306	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_8	119399	50.3287297214	9.8685332373	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_9	119284	49.7015525972	10.6295479696	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_10	118935	50.3443057132	9.84098877538	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_11	118386	50.5735475479	9.94366732553	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_12	116227	50.3230746728	10.105156289	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_13	111987	49.4673488887	10.4255404645	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_14	110898	51.3507908168	9.43542714927	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_15	110430	50.9345286607	10.0282622476	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_16	108334	50.1513836838	9.96445252645	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_17	108005	49.581963798	10.5061247164	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_18	107877	49.6102042141	10.2585722629	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_19	104582	50.0028685625	10.6241131361	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_20	103140	49.7071941051	10.9089005236	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_21	103068	51.1312919626	9.19407575581	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_22	100172	51.30475582	9.27051471469	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_23	98502	51.4141844836	9.03765405779	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_24	93937	51.5462490818	9.48703918584	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_25	92869	50.6767597368	9.89918056617	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_26	92816	51.5859334597	8.9117824513	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_27	91500	50.1781420765	10.1089726776	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_28	90189	50.8332501746	9.87546153079	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_29	88156	50.6091474205	9.22544126322	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_30	88151	51.2211999864	9.45525291829	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_31	86769	50.8465004783	9.71918542337	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_32	86612	50.5865238073	9.39373297003	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_33	86211	51.0201714398	9.35837654128	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_34	86020	50.0941641479	10.5666240409	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_35	85806	50.2389110319	10.6826911871	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_36	85399	50.1176828768	10.2951673907	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_37	85143	51.1093102193	9.37798762083	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_38	84973	49.9017334918	10.191778565	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_39	83641	49.8296290097	9.89362872276	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_40	82431	50.3342189225	10.0477490265	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_41	82142	50.2154805094	9.904312045	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_42	80643	51.2617338145	9.35569113252	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_43	79714	51.2431944201	9.13175853677	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_44	78833	50.3317138762	10.1532099501	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_45	78673	51.3505268644	9.45643359221	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_46	77776	49.7351368031	10.3835630529	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_47	77507	49.6290657618	10.2346239694	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_48	77052	49.6690546644	10.0311997093	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_49	76347	51.6850694854	8.93909387402	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_50	75396	49.8434930235	10.0554936601	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_51	74465	50.4894917075	9.28197139596	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_52	73826	50.3074797497	9.47095874082	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_53	73577	51.0852576213	9.19034480884	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_54	73544	50.3154574132	10.0238088763	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
AD072_metscf_55	73300	50.0914051842	9.33781718963	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	64518
