contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NRRL_3032_plascf_1_covcut_0	54838	26.1989861045	438.15461906	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor saturninus	64648
NRRL_3032_metscf_1	219192	38.5283222015	41.1211084346	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_2	207001	38.6215525529	40.4396597118	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_3	183445	38.2561530704	40.0727793071	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_4	174104	38.2374902357	41.7003227956	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_5	165417	38.2687390051	40.5826245186	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_6	159580	38.8262940218	39.7533274846	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_7	157092	38.8218368854	40.1828609987	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_8	154866	38.4506605711	41.0474539279	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_9	151939	38.086995439	40.1984875509	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_3032_metscf_10	143433	38.9777805665	41.1271395007	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
