contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
AD011_plascf_1_covcut_5	10376	42.7910562837	5.98872397841	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	unclassified	4855
AD011_metscf_1	183279	28.3835027472	170.373152407	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila verticillata	78898
AD011_metscf_2	102674	44.5322087383	11.6239067339	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_3	93853	44.6272362098	12.3588484119	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_4	85388	44.4406708203	11.4640933152	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_5	80106	44.760692083	11.2823883355	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_6	77766	44.6094694339	11.3867499936	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_7	73248	45.1616426387	10.6503795325	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_8	71153	42.7894818209	12.3226005931	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_9	70542	43.9794732216	11.4353009555	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_10	70372	44.3429204797	11.9870545103	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_11	68357	44.2193191626	11.7156545782	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AM989	1896186
AD011_metscf_12	68329	44.1057237776	12.634225585	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_13	67157	43.8271513022	11.1125720327	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_14	66459	44.4304006982	11.1802916084	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_15	66015	44.0839203211	11.8333106112	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_16	65990	45.1659342325	10.9450068192	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_17	65890	44.3481560176	10.7206404614	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_18	65741	44.2128960618	11.6610182382	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_19	65660	43.3475479744	10.9195400548	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella beljakovae	979673
AD011_metscf_20	64622	45.0713379344	11.3411531677	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_21	64299	44.7985194171	10.1174201776	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_22	63326	43.634526103	11.0644127215	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_23	62163	44.2932290913	12.4279877097	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_24	62083	43.6286906238	11.3782033729	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_25	61954	44.646027698	11.777722181	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_26	61806	44.5248034171	11.3447238132	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_27	60437	43.0282773798	11.5744659728	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_28	60129	44.5475560877	10.7169086464	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_29	59758	44.6149469527	11.1304093176	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_30	59563	44.566257576	10.9030942028	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_31	59318	45.1920159142	12.2286321184	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_32	59139	44.2550601126	11.3992289352	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_33	58084	43.3182976379	11.2258969768	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_34	56928	43.3617903316	11.1985139123	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_35	56769	44.2054642499	11.3900192006	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_36	56588	44.4776277656	11.4588428642	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD011	1896180
AD011_metscf_37	56280	43.9161336176	10.7035714286	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_38	56168	44.6036889332	10.7924797037	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_39	55870	44.1739752998	11.273671022	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_40	53905	45.2611075039	10.3757165384	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_41	53896	43.4484933947	11.4625018554	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_42	53852	43.8033870608	11.2664896383	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_43	53497	44.8903676842	10.2951754304	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_44	53413	43.4014191302	11.2215752719	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_45	52948	44.4360504646	10.4279104027	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_46	52534	43.8344691057	12.5847070469	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_47	52307	43.9291108265	12.5941843348	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_48	52114	43.6869171432	10.8031814867	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_49	51095	44.7852040317	11.1860456013	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_50	51093	43.9022958135	11.8932143346	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_51	50749	44.2787049991	11.968157008	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_52	50252	42.8739154661	10.8588115896	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_53	50197	44.1600095623	11.5983425304	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_54	50005	44.4655534447	11.0868113189	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_55	49856	43.5694801027	11.383925706	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_56	49812	44.5695816269	10.7700554083	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_57	49543	44.7368952223	11.3867751246	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_58	49501	43.9708288721	11.1103412052	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_59	49298	44.5109335064	10.9367114285	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_60	49244	44.8176427585	11.1856469824	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_61	49079	43.5481570529	11.7533975835	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_62	48940	43.8986514099	10.7762362076	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_63	48709	44.0863084851	10.9615676774	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_64	48531	43.8647462447	11.6150501741	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_65	47944	44.8231269815	11.2791381612	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_66	47206	44.8756514002	11.6234376986	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	unclassified	4855
AD011_metscf_67	47027	43.130542029	12.0472707168	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD011	1896180
AD011_metscf_68	46991	43.5998382669	11.7428018131	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_69	46911	44.8082539277	10.8218754663	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_70	46467	43.5922267416	11.5963156649	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD011	1896180
AD011_metscf_71	46242	44.8618139354	11.6033692314	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_72	46118	43.74647643	11.4210937161	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_73	46117	44.122557842	11.6510397467	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_74	45951	44.0991490936	11.1875040804	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_75	45768	43.9586610732	12.6547806328	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_76	45752	44.1182899108	11.037593985	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_77	45241	43.8916027497	11.1652925444	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_78	44901	43.5469143226	10.7492260751	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_79	44706	43.6406746298	11.3939963316	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_80	44668	43.9106295334	12.2870511328	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_81	43543	44.7259031302	11.1090875686	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_82	43332	43.7205760177	11.756669436	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_83	43090	44.2770944535	10.9129960548	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_84	42631	44.0501043841	11.6912809927	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_85	42597	45.5971077775	11.2709580487	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_86	42496	44.093561747	11.5874670557	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_87	42424	43.8431076749	11.4241467094	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_88	42267	45.4326069984	10.2633496581	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_89	42138	43.8535288813	10.884569747	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_90	41987	44.1851049134	11.4893181223	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_91	41811	44.0290832556	11.7973738968	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_92	41793	44.1963965257	11.3630751561	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_93	41730	46.4366163432	10.6951114306	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_94	41517	43.9241756389	10.5479442156	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_95	41304	42.6907805539	11.3598925044	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_96	41215	44.2654373408	11.5181608638	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_97	41003	43.8236226618	11.0067068263	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_98	40884	45.3062322669	11.4598131298	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_99	40771	44.4752397537	11.7831546933	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_100	40538	43.3642508264	11.7693522127	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_101	40521	45.2555465067	10.079341576	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila clonocystis	979688
AD011_metscf_102	40408	46.1418530984	9.63586418531	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_103	40255	44.4888833685	11.7535461433	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_104	40106	46.3022989079	10.8959008627	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_105	40102	44.0102738018	12.0581018403	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	unclassified	unclassified	4854
AD011_metscf_106	39972	43.785649955	11.3894976484	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_107	39892	44.9187807079	10.2671713627	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_108	39885	45.1422840667	10.7142284067	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
AD011_metscf_109	39838	44.1864551433	11.1959435715	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	unclassified	4855
AD011_metscf_110	39709	44.1386083759	10.2311818479	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_111	39678	43.868138515	10.9590705177	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_112	39647	43.6804802381	11.7520115015	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094	1896185
AD011_metscf_113	39623	44.11831512	11.0510309669	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_114	39599	43.9556554458	11.2476072628	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_115	39529	44.2409370336	10.848996939	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_116	39431	44.5233445766	12.2011615227	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_117	39405	44.5958634691	11.1169902297	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_118	39354	45.0653046704	10.088021548	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_119	39334	44.0178980017	11.7082422332	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_120	39332	43.7786026645	10.8479863724	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD011	1896180
AD011_metscf_121	39326	45.8704165183	11.3714590856	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010	1896179
AD011_metscf_122	39273	44.4758485473	11.3583632521	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora	101097
