contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid
NRRL_1395_plascf_1_covcut_15	12303	29.7407136471	138.555311713	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	unclassified	unclassified	unclassified	4827
NRRL_1395_plascf_1_covcut_0	35791	27.9316029169	551.121818334	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	unclassified	unclassified	34489
NRRL_1395_plascf_2_covcut_0	10430	38.6097794823	4009.98552253	Eukaryota	Ascomycota	Dothideomycetes	unclassified	Pseudoperisporiaceae	Lizonia	Lizonia empirigonia	1496277
NRRL_1395_metscf_1	167038	26.0024665046	67.1893102168	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_1395_metscf_2	142241	25.2718976948	63.9114460669	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia glauca	4829
NRRL_1395_metscf_3	133269	26.1928880685	66.8506704485	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_1395_metscf_4	130664	25.2716892181	61.4697162187	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_1395_metscf_5	125023	25.5049070971	64.1973796821	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_1395_metscf_6	116135	25.6408490119	64.3065656348	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia glauca	4829
NRRL_1395_metscf_7	112702	25.1832265621	59.265381271	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia glauca	4829
NRRL_1395_metscf_8	110681	25.0874133772	62.650093512	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
NRRL_1395_metscf_9	108165	25.370498775	62.9680673046	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia glauca	4829
NRRL_1395_metscf_10	107822	25.4558438909	66.8776409267	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens	90262
